,Unnamed: 0,id,referringVisitId,transition,visitId,visitTime,title,lastVisitTime,typedCount,url,visitCount,visitTimeDate,lastVisitTimeDate,thumbnail,description,2d_x,2d_y,3d_x,3d_y,3d_z
0,1358,49557,0,link,321942,1665678261426.771,weekly agenda,1665759773097.355,0,https://www.notion.so/Weekly-Agenda-e23aef1fcced413bbb46227f0057e10a,1927,2022-10-13 16:24:21.426770944,2022-10-14 15:02:53.097355008,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,weekly agenda,19.324331,-1.9821125,14.295091,-7.7289176,-3.9246538
1,1473,15,0,auto_bookmark,321822,1665674656620.2322,www.are.na,1665749799625.718,8,https://www.are.na/trudy-painter,843,2022-10-13 15:24:16.620232192,2022-10-14 12:16:39.625718016,,www.are.na,45.42069,16.454239,36.390747,5.778018,2.5023394
2,2762,111527,320422,link,320423,1665507890953.738,Internet Mirror,1665610676542.533,2,http://localhost:8080/,637,2022-10-11 17:04:50.953737984,2022-10-12 21:37:56.542532864,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Internet Mirror,40.172287,10.715851,15.343918,5.0367312,-3.5906126
3,1925,105427,0,link,321302,1665596183163.12,(3) weekly agenda,1665759774663.579,0,https://www.notion.so/trudypainter/weekly-agenda-e23aef1fcced413bbb46227f0057e10a,607,2022-10-12 17:36:23.163120128,2022-10-14 15:02:54.663579136,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,(3) weekly agenda,19.308104,-1.9747272,14.473792,-8.399565,-5.0082655
4,4244,101,0,typed,318840,1665267084765.61,Instagram,1665756114664.271,250,https://www.instagram.com/,575,2022-10-08 22:11:24.765609984,2022-10-14 14:01:54.664271104,/static/images/ico/favicon-200.png/ab6eff595bb1.png,Instagram,24.84234,9.443837,11.902914,6.965971,5.7661343
5,6028,313,0,link,316953,1665168702502.451,Trudy Painter - Resume - Google Sheets,1665168702971.231,0,https://docs.google.com/spreadsheets/d/1pBokIjBV7lxDYNxqqxfLrNb7h3h4GuhWSbrrTGd9Fho/edit#gid=0,414,2022-10-07 18:51:42.502450944,2022-10-07 18:51:42.971230976,https://lh6.googleusercontent.com/E2KVGHZlegUn3zFXi1pzxk_95zvhkR0wae7BqNtm5sRyKBm_T5aGtlaP34iTkZteCLpNG1m0e8F29w=w1200-h630-p,Trudy Painter - Resume - Google Sheets,14.64457,26.311527,9.810787,6.05975,-14.523244
6,5943,78916,317032,link,317044,1665169081869.088,GitHub,1665234738467.953,48,https://github.com/,398,2022-10-07 18:58:01.869088000,2022-10-08 13:12:18.467952896,https://github.githubassets.com/images/modules/site/social-cards/github-social.png,GitHub,26.734098,-6.555114,15.168764,-6.6630754,8.81106
7,5963,8426,316999,link,317020,1665168938392.465,Trudy Painter,1665748546679.474,0,http://www.trudy.computer/,362,2022-10-07 18:55:38.392465152,2022-10-14 11:55:46.679474176,,Trudy Painter,17.016676,23.791655,15.573332,7.1456237,-14.403549
8,2527,304,0,link,320659,1665523841999.936,"Google Calendar - Week of October 9, 2022",1665745599020.3809,0,https://calendar.google.com/calendar/u/0/r,311,2022-10-11 21:30:41.999936000,2022-10-14 11:06:39.020380928,,"Google Calendar - Week of October 9, 2022",-2.3740096,16.231462,5.6265817,-0.65004075,-29.311691
9,2068,110516,0,link,321140,1665591186005.952,NLP Research Projects - Google Sheets,1665591186005.952,1,https://docs.google.com/spreadsheets/d/1wONtziYm5IDqE1-L0U5rMJ1tMkv4tjQqK6HbWhN4B1E/edit#gid=0,307,2022-10-12 16:13:06.005952000,2022-10-12 16:13:06.005952000,https://lh5.googleusercontent.com/tUlmvAYk-kjIbsLb1VplEG2VGdlPWvFehUPtZWoA-uGzQH8jxOZCc-WNHb17bv1txjExmYWps0xr2w=w1200-h630-p,NLP Research Projects - Google Sheets,3.9354315,-13.370206,3.2919517,-6.253704,-1.8946216
10,2387,107645,0,link,320820,1665588963696.337,6.UAR Check-in Schedule (Schrasing) - Google Sheets,1665588964223.125,0,https://docs.google.com/spreadsheets/d/1V8_zSHSt0gh--PIwV71RhCYRUNypVh3cmzC5zGk0TMc/edit#gid=0,254,2022-10-12 15:36:03.696336896,2022-10-12 15:36:04.223124992,https://lh5.googleusercontent.com/ZQuFwtJ4-BFQWsLyGMc1-HhgkBTmfuPz84SlzLfOtGe8vnt1Fw9AiQNK0n-IZ1MEoQbk-TbySQ854Q=w1200-h630-p,6.UAR Check-in Schedule (Schrasing) - Google Sheets,-4.147694,11.4740715,6.100623,-1.659905,-16.463907
11,5975,46,0,link,317008,1665168865445.766,Gallery | bionicpinkytoe | VSCO,1665748618017.513,7,https://vsco.co/bionicpinkytoe/gallery,235,2022-10-07 18:54:25.445765888,2022-10-14 11:56:58.017512960,https://im.vsco.co/aws-us-west-2/988393/81457622/63477e6b94db7d455e96b888/vsco_101222.jpg?w=480,Gallery | bionicpinkytoe | VSCO,-5.6719084,33.427143,-7.058751,31.894367,1.8123311
12,1599,95,0,typed,321678,1665627524085.713,YouTube,1665664884995.678,71,https://www.youtube.com/,144,2022-10-13 02:18:44.085712896,2022-10-13 12:41:24.995677952,https://www.youtube.com/img/desktop/yt_1200.png,YouTube,29.085321,0.77492595,14.57477,1.6100125,6.6507726
13,898,3792,0,link,322430,1665697379684.081,Kaya Weiser (@kayaweiser) • Instagram photos and videos,1665748538445.68,0,https://www.instagram.com/bionicpinkytoe/,108,2022-10-13 21:42:59.684081152,2022-10-14 11:55:38.445679872,https://scontent-bos5-1.cdninstagram.com/v/t51.2885-15/307161054_1669016183478652_5664586651239653898_n.jpg?stp=dst-jpg_s100x100&_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=4jSWZoHAlSMAX-WtiQf&_nc_ht=scontent-bos5-1.cdninstagram.com&oh=00_AT_OJT97QdwFdsh55894wmIQ51UgyesHmNZ8MpnHeF262A&oe=634DBC59,Kaya Weiser (@kayaweiser) • Instagram photos and videos,2.2103543,41.72168,6.302803,25.960732,-3.0273573
14,1856,70,0,typed,321371,1665610881778.41,okaycyn (@okaytrue) TikTok | Watch okaycyn's Newest TikTok Videos,1665748656582.397,85,https://www.tiktok.com/@okaytrue?lang=en,105,2022-10-12 21:41:21.778409984,2022-10-14 11:57:36.582396928,,okaycyn (@okaytrue) TikTok | Watch okaycyn's Newest TikTok Videos,-4.6358232,44.157436,4.1370173,28.817003,-10.937087
15,1812,586,321412,link,321454,1665614415121.0042,Are.na,1665746298235.6328,12,https://www.are.na/,97,2022-10-12 22:40:15.121004032,2022-10-14 11:18:18.235632896,,Are.na,45.047398,16.411674,36.63754,6.87144,1.3750554
16,1816,16,0,reload,321449,1665614288803.4438,Dashboard,1665757492721.74,34,https://canvas.mit.edu/,93,2022-10-12 22:38:08.803443968,2022-10-14 14:24:52.721740032,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Dashboard,26.312428,-0.45824715,11.822637,3.5773032,11.536961
17,1863,3432,0,link,321364,1665610749021.6729,(1) Inbox • Chats,1665610749021.6729,0,https://www.instagram.com/direct/inbox/,91,2022-10-12 21:39:09.021672960,2022-10-12 21:39:09.021672960,,(1) Inbox • Chats,25.886354,8.593776,12.914034,8.905783,8.778742
18,5824,88227,317161,link,317173,1665170818660.9048,in-tune – Overview – Vercel,1665170818660.9048,0,https://vercel.com/trudypainter/in-tune,84,2022-10-07 19:26:58.660904704,2022-10-07 19:26:58.660904704,https://assets.vercel.com/image/upload/front/vercel/twitter-card.png,in-tune – Overview – Vercel,39.86415,-14.976867,16.352861,-3.6622775,27.319275
19,3336,19926,0,link,319827,1665496950557.379,Home / Twitter,1665504036650.889,0,https://twitter.com/home,71,2022-10-11 14:02:30.557378816,2022-10-11 16:00:36.650888960,,Home / Twitter,24.744469,12.199222,13.092289,13.066931,8.478764
20,2469,104246,0,auto_bookmark,320726,1665583088771.803,CMS.405,1665697826073.494,1,https://cms405.github.io/,66,2022-10-12 13:58:08.771802880,2022-10-13 21:50:26.073494016,,CMS.405,0.18760276,5.4980574,8.408519,-11.702119,-16.15959
21,5355,149,0,link,317658,1665231069283.365,(99+) Trudy Painter | LinkedIn,1665745462856.2068,13,https://www.linkedin.com/in/trudy-painter/,65,2022-10-08 12:11:09.283364864,2022-10-14 11:04:22.856206848,,(99+) Trudy Painter | LinkedIn,22.14201,35.598457,20.89774,23.9006,-6.1655946
22,333,194,0,typed,323087,1665757589834.514,"Electronics, Cars, Fashion, Collectibles & More | eBay",1665757589834.514,60,https://www.ebay.com/,63,2022-10-14 14:26:29.834513920,2022-10-14 14:26:29.834513920,https://ir.ebaystatic.com/cr/v/c1/ebay-logo-1-1200x630-margin.png,"Electronics, Cars, Fashion, Collectibles & More | eBay",-51.735516,-13.565979,-29.370724,-14.545919,0.6791177
23,5829,85566,317161,link,317168,1665170775051.972,Dashboard – Vercel,1665170775051.972,6,https://vercel.com/dashboard,61,2022-10-07 19:26:15.051971840,2022-10-07 19:26:15.051971840,https://assets.vercel.com/image/upload/front/vercel/twitter-card.png,Dashboard – Vercel,26.157053,-0.45791993,10.628318,4.037958,11.865553
24,6094,71532,0,link,316885,1665168134556.186,🧠 information trails🗺 — Are.na,1665168135021.293,12,https://www.are.na/trudy-painter/information-trails,60,2022-10-07 18:42:14.556186112,2022-10-07 18:42:15.021293056,https://images.are.na/eyJidWNrZXQiOiJhcmVuYV9pbWFnZXMiLCJrZXkiOiIxNzU4ODA5Ny9vcmlnaW5hbF9kZDc2ZmFkMjgyMTg1MTdlOTgxNTk5Yzg2NGU0YWQ3Ni5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjEyMDAsImhlaWdodCI6MTIwMCwiZml0IjoiaW5zaWRlIiwid2l0aG91dEVubGFyZ2VtZW50Ijp0cnVlfSwid2VicCI6eyJxdWFsaXR5Ijo5MH0sImpwZWciOnsicXVhbGl0eSI6OTB9LCJyb3RhdGUiOm51bGx9fQ==?bc=0,🧠 information trails🗺 — Are.na,42.543777,13.065636,36.233067,-0.1237451,0.60403776
25,3008,19923,0,typed,320169,1665504036188.397,https://twitter.com,1665504036297.975,29,https://twitter.com/,60,2022-10-11 16:00:36.188397056,2022-10-11 16:00:36.297975040,,https://twitter.com,24.453812,13.318687,13.9691305,14.126749,5.808978
26,5936,85545,317050,link,317051,1665169089745.003,Your Repositories,1665234742068.696,0,https://github.com/trudypainter?tab=repositories,57,2022-10-07 18:58:09.745003008,2022-10-08 13:12:22.068696064,https://avatars.githubusercontent.com/u/35875567?v=4?s=400,Your Repositories,27.946852,-7.397622,17.183455,-9.352548,9.472309
27,4799,330,0,typed,318243,1665240926047.152,Listening History,1665598404186.0098,46,http://www.trudy.tube/,54,2022-10-08 14:55:26.047152128,2022-10-12 18:13:24.186009856,,Listening History,29.870003,-1.2611825,17.131977,4.8744125,11.531366
28,4886,61120,0,link,318154,1665239172065.299,Trudy Painter (@trudypainter) / Twitter,1665239172065.299,0,https://twitter.com/trudypainter,49,2022-10-08 14:26:12.065299200,2022-10-08 14:26:12.065299200,,Trudy Painter (@trudypainter) / Twitter,19.20524,23.062593,11.787696,9.664106,-14.037206
29,4043,577,319055,form_submit,319056,1665415914022.016,Northwest Federal Credit Union,1665415914022.016,1,https://secure.nwfcu.org/DashboardV2,49,2022-10-10 15:31:54.022016000,2022-10-10 15:31:54.022016000,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Northwest Federal Credit Union,-28.743158,5.4650254,-19.938665,11.943588,0.59395987
30,973,70478,0,link,322336,1665692867746.738,(20+) Facebook Marketplace | Facebook,1665692893264.401,22,https://www.facebook.com/marketplace/,47,2022-10-13 20:27:47.746737920,2022-10-13 20:28:13.264400896,,(20+) Facebook Marketplace | Facebook,-46.709423,4.140529,-32.70852,4.2319026,-0.14959447
31,2477,262,320713,typed,320714,1665578590115.039,Touchstone@MIT : Please Authenticate,1665658547615.484,0,https://idp.mit.edu/idp/Authn/MIT?conversation=e1s1,41,2022-10-12 12:43:10.115038976,2022-10-13 10:55:47.615483904,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Touchstone@MIT : Please Authenticate,-8.106029,6.877605,-0.54489595,9.957356,-20.209343
